Catalog Number,Cataloged Date,First Name,Last Name,Collection Object - Publish,Kingdom,Division,Class,Order,Family,Genus,Species,Determined Date,Determiner_first,Determiner_last,Start Date,Collectors - First Name,Collectors - Last Name,Locality,Latitude1,Longitude1,Continent,Country,Prep Type,Preparations - Count
#########,2026-03-09,Ruth,Nielsen,TRUE,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Dilsea,carnosa,,,R. Nielsen,1938-08-05,R.,Nielsen,"Akratangi, Suduroy",61.45916667,-6.754166667,Europe,Faroe Islands,Sheet,1
#########,2026-03-09,Ruth,Nielsen,TRUE,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,cristata,,,R. Nielsen,1948-07-07,R.,Nielsen,,61.45916667,-6.754166667,Europe,Faroe Islands,Sheet,1
#########,2026-03-09,Ruth,Nielsen,TRUE,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Phycodrys,rubens,,,R. Nielsen,1964-10-25,R.,Nielsen,"Akratangi, Suduroy",61.45916667,-6.754166667,Europe,Faroe Islands,Sheet,1
#########,2026-03-09,Ruth,Nielsen,TRUE,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,sp.,,,R. Nielsen,2014-08-28,Ane,Belle,"Akratangi, Suduroy",61.45916667,-6.754166667,Europe,Faroe Islands,Sheet,1
#########,2026-03-09,Ruth,Nielsen,TRUE,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Ostreobiaceae,Ostreobium,quekettii,,,R. Nielsen,2014-08-20,Anne,Belle,"Akratangi, Suduroy",61.45916667,-6.754166667,Europe,Faroe Islands,Sheet,1
#########,2026-03-09,Ruth,Nielsen,TRUE,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Dilsea,carnosa,,,R. Nielsen,1895-06-22,Ana,Belle,"Hvalbiareidi, Suduroy",61.591,-6.963333333,Europe,Faroe Islands,Sheet,1
#########,2026-03-09,Ruth,Nielsen,TRUE,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,laciniata,,,R. Nielsen,2016-04-12,Ane,Bolle,"Gjógv, Eysturoy",62.32816667,-6.937333333,Europe,Faroe Islands,Sheet,1
#########,2026-03-09,Ruth,Nielsen,TRUE,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Dilsea,carnosa,,,R. Nielsen,2016-04-12,Ane,Belle,"Gjógv, Eysturoy",62.32816667,-6.937333333,Europe,Faroe Islands,Sheet,1
#########,2026-03-09,Ruth,Nielsen,TRUE,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,hyperborea,,,K. Gunnarsson,2000-04-16,A.,Belle,"Gjógv, Eysturoy",62.32816667,-6.937333333,Europe,Faroe Islands,Sheet,1
#########,2026-03-09,Ruth,Nielsen,TRUE,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Chordaceae,Chorda,filum,,,"K. Gunnarsson, R. Nielsen",2000-04-16,Ane,Belle,"Signabøur, Kollafjørdur, Streymoy",62.1035,-6.906833333,Europe,Faroe Islands,Sheet,1
#########,2026-03-09,Ruth,Nielsen,TRUE,Plantae,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Porphyra,miniata,,,J. Brodie,2000-04-16,R.,Nielsen,"Hvalbiareidi, Suduroy",61.591,-6.963333333,Europe,Faroe Islands,Sheet,1
#########,2026-03-09,Ruth,Nielsen,TRUE,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Membranoptera,alata,,,R. Nielsen,2015-02-06,R.,Nielsen,"Hvalbiareidi, Suduroy",61.591,-6.963333333,Europe,Faroe Islands,Sheet,1
#########,2026-03-09,Ruth,Nielsen,TRUE,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Ostreobiaceae,Ostreobium,quekettii,,,R. Nielsen,1951-08-21,R.,Nielsen,"Signabøur, Kollafjørdur, Streymoy",62.1035,-6.906833333,Europe,Faroe Islands,slide,1
#########,2026-03-09,Ruth,Nielsen,TRUE,Plantae,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Porphyra,leucosticta,,,J. Brodie,2014-05-25,R.,Nielsen,"Hvitanes, Streymoy",62.04233333,-6.758666667,Europe,Faroe Islands,Sheet,1
#########,2026-03-09,Ruth,Nielsen,TRUE,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Polysiphonia,fibrillosa,,,"K. Gunnarsson, R. Nielsen",2012-01-14,R.,Nielsen,"Kaldbak, BIOFAR, Streymoy",62.061,-6.823833333,Europe,Faroe Islands,Sheet,1
#########,2026-03-09,Ruth,Nielsen,TRUE,Plantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,rupestris,,,"K. Gunnarsson, R. Nielsen",2018-12-24,R.,Nielsen,"Signabøur, Kollafjørdur, Streymoy",62.1035,-6.906833333,Europe,Faroe Islands,Sheet,1
#########,2026-03-09,Ruth,Nielsen,TRUE,Plantae,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Porphyra,purpurea,,,J. Brodie,1991-07-05,R.,Nielsen,"Signabøur, Kollafjørdur, Streymoy",62.1035,-6.906833333,Europe,Faroe Islands,Sheet,1
#########,2026-03-09,Ruth,Nielsen,TRUE,Plantae,Rhodophyta,Compsopogonophyceae,Erythropeltidales,Erythrotrichiaceae,Erythrotrichia,carnea,,,"K. Gunnarsson, R. Nielsen",2018-11-18,K.,Gunnarsson,"Signabøur, Kollafjørdur, Streymoy",62.1035,-6.906833333,Europe,Faroe Islands,Sheet,1
#########,2026-03-09,Ruth,Nielsen,TRUE,Plantae,Rhodophyta,Compsopogonophyceae,Erythropeltidales,Erythrotrichiaceae,Erythrotrichia,carnea,,,"K. Gunnarsson, R. Nielsen",2018-12-16,K.,Lundshøj,"Signabøur, Kollafjørdur, Streymoy",62.1035,-6.906833333,,Faroe Islands,Sheet,1
#########,2026-03-09,Ruth,Nielsen,TRUE,Plantae,Rhodophyta,,,,Algaria,krakenii,,,"K. Gunnarsson, R. Nielsen",2019-01-03,R.,Nielsen,"Signabøur, Kollafjørdur, Streymoy",62.1035,-6.906833333,Europe,Faroe Islands,Sheet,1
