Catalog Number,Cataloged Date,First Name,Last Name,Collection Object - Publish,Kingdom,Division,Class,Order,Family,Genus,Species,Determined Date,Determiner_first,Determiner_last,Start Date,Collectors - First Name,Collectors - Last Name,Locality,Continent,Country,Prep Type,Preparations - Count
#########,2026-03-09,Christian,Lange,TRUE,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,laccata,,F.H.,Møller,1938-08-05,F.,Møller,"Østerø, Slættertinte, W-side",Europe,Faroe Islands,Capsule,1
#########,2026-03-09,Christian,Lange,TRUE,Fungi,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Helvella,cupuliformis,,,"John Eriksson, R. Morander",1948-07-07,R.,Morander,"Uppland, Uppsala, Stadsskogen, near Skogshall",Europe,Sweden,Capsule,1
#########,2026-03-09,Christian,Lange,TRUE,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Radulomycetaceae,Aphanobasidium,albidum,,Knud,Hauerslev,1964-10-25,Knud,Hauerslev,"Sjælland, Korsør Skov",Europe,Denmark,Capsule,1
#########,2026-03-09,Christian,Lange,TRUE,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,eminens,,Katri,Kokkonen,2014-08-28,Katri,Kokkonen,"Pohjois-Karjala, Lieksa commune, Koli National Park, Havukanranta",Europe,Finland,Frozen,1
#########,2026-03-09,Christian,Lange,TRUE,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,boreale,,Katri,Kokkonen,2014-08-20,Katri,Kokkonen,"Pohjois.Karjala, Juankoski commune, Huosiaisniemi nature reserve, near the end of Huosiaislahti",Europe,Finland,Capsule,1
#########,2026-03-09,Christian,Lange,TRUE,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Metacapnodiaceae,Antennatula,arctica,,Emil,Rostrup,1895-06-22,S.,Kaufman,Kakataiak (?),,Greenland,Capsule,1
#########,2026-03-09,Christian,Lange,TRUE,Fungi,Ascomycota,Laboulbeniomycetes,Laboulbeniales,Laboulbeniaceae,Monoicomyces,brachiatus,,Sergi,Santamaria,2016-04-12,Jan,Pedersen,"Sjælland, Frederiksborg Slot, Indelukket",Europe,Denmark,Capsule,1
#########,2026-03-09,Christian,Lange,TRUE,Fungi,Ascomycota,Laboulbeniomycetes,Laboulbeniales,Laboulbeniaceae,Monoicomyces,brachiatus,,Sergi,Santamaria,2016-04-12,Jan,Pedersen,"Sjælland, Frederiksborg Slot, Indelukket",Europe,Denmark,Capsule,1
#########,2026-03-09,Christian,Lange,TRUE,Fungi,Ascomycota,Laboulbeniomycetes,Laboulbeniales,Laboulbeniaceae,Laboulbenia,inexpectata,,Sergi,Santamaria,2000-04-16,Henning,Liljehult,Kongens Mose,Europe,Denmark,Capsule,1
#########,2026-03-09,Christian,Lange,TRUE,Fungi,Ascomycota,Laboulbeniomycetes,Laboulbeniales,Laboulbeniaceae,Laboulbenia,inexpectatus,,Sergi,Santamaria,2000-04-16,Henning,Liljehult,Kongens Mose,Europe,Denmark,Capsule,1
#########,2026-03-09,Christian,Lange,TRUE,Fungi,Ascomycota,Laboulbeniomycetes,Laboulbeniales,Laboulbeniaceae,Laboulbenia,inexpectata,,Sergi,Santamaria,2000-04-16,Henning,Liljehult,Kongens Mose,Europe,Denmark,Capsule,1
#########,2026-03-09,Christian,Lange,TRUE,Fungi,Ascomycota,Laboulbeniomycetes,Laboulbeniales,Laboulbeniaceae,Monoicomyces,validus,,Sergi,Santamaria,2015-02-06,Jan,Pedersen,Syd for Stårup,Europe,Denmark,Capsule,1
#########,2026-03-09,Christian,Lange,TRUE,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,heteronemum,,,,1951-08-21,J.,Nannfeldt,"Gästrikland, Gävle, Lövudden",Europe,Sweden,Capsule,1
#########,2026-03-09,Christian,Lange,TRUE,Fungi,Ascomycota,Laboulbeniomycetes,Laboulbeniales,Laboulbeniaceae,Monoicomyces,validus,,Sergi,Santamaria,2014-05-25,Ane,Belle,Stold Skydeterræn,Europe,Denmark,Capsule,1
#########,2026-03-09,Christian,Lange,TRUE,Fungi,Ascomycota,Laboulbeniomycetes,Laboulbeniales,Laboulbeniaceae,Laboulbenia,pygidicola,,Sergi,Santamaria,2012-01-14,Anne,Belle,"Sjælland, Langebæk, Østerskov",Europe,Denmark,Capsule,1
#########,2026-03-09,Christian,Lange,TRUE,Fungi,Ascomycota,Laboulbeniomycetes,Laboulbeniales,Laboulbeniaceae,Monoicomyces,crassicaulis,,Sergi,Santamaria,2018-12-24,Ana,Belle,"Sjælland, Holte, Rude Skov, syd for Løjesø",Europe,Denmark,Capsule,1
#########,2026-03-09,Christian,Lange,TRUE,Fungi,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Helvella,pubescens,,,"I. Skrede, T. Carlsen, Trond Schumacher",1991-07-05,Ane,Bolle,"Oregon, National Forest Lane CO., Mc Kenzie District",North America,United States,Capsule,1
#########,2026-03-09,Christian,Lange,TRUE,Fungi,Ascomycota,Laboulbeniomycetes,Laboulbeniales,Laboulbeniaceae,Monoicomyces,crassicaulis,,Sergi,Santamaria,2018-11-18,Ane,Belle,"Sjælland, Jægersborg Hegn, Skodsborg Dam",Europe,Denmark,Capsule,1
#########,2026-03-09,Christian,Lange,TRUE,Fungi,,,,,Monoicomyces,crassicaulis,,Sergi,Santamaria,2018-12-16,A.,Belle,"Jylland, Velling",Europe,Denmark,Capsule,1
#########,2026-03-09,Christian,Lange,TRUE,Fungi,,,,,Amanita,smurfensis,,Sergi,Santamaria,2019-01-03,Ane,Belle,"Lolland, Bandholm, Vest for",Europe,Denmark,Capsule,1
